tconst	averageRating	numVotes
tt0076361	5.4	1205
tt0076698	4.4	175
tt0076986	6.3	148
tt0077064	8.1	2264
tt0077469	5.1	2149
tt0077485	5.3	993
tt0077873	6.0	36
tt0078294	4.9	540
tt0078638	6.9	3242
tt0079079	6.2	157
tt0079368	7.1	2734
tt0080157	6.4	3736
tt0080201	6.4	26
tt0080556	6.6	2857
tt0080586	6.6	25
tt0080652	7.3	1463
tt0080905	7.1	2098
tt0081011	6.8	233
tt0082754	6.8	675
tt0083419	6.1	43
tt0083438	8.5	465
tt0083465	8.0	3109
tt0083776	6.6	46
tt0083781	4.9	12
tt0083874	7.0	33
tt0083898	8.1	53
tt0084766	5.3	50
tt0085589	6.5	163
tt0085710	6.6	204
tt0085752	6.8	19
tt0086096	6.9	119
tt0086182	8.1	3133
tt0086657	5.8	80
tt0086771	6.8	164
tt0086869	3.9	121
tt0086944	7.8	560
tt0087059	7.5	245
tt0087232	6.6	65
tt0087377	7.1	1006
tt0088111	6.8	1535
tt0088171	5.7	12
tt0088301	5.7	40
tt0088357	6.1	515
tt0088844	6.0	88
tt0088854	6.5	20
tt0089257	7.0	186
tt0089582	5.6	48
tt0089593	6.4	2246
tt0090010	4.8	5
tt0090189	5.8	147
tt0090305	6.6	97985
tt0090429	5.5	207
tt0090638	6.6	1280
tt0090918	7.6	82
tt0091302	5.8	142
tt0091718	4.6	42
tt0091761	5.4	44
tt0092195	4.4	363
tt0092804	7.4	14505
tt0092938	6.7	420
tt0092945	6.9	449
tt0093817	7.5	675
tt0094638	5.4	185
tt0095010	5.3	34
tt0095367	6.8	31
tt0095776	6.6	53182
tt0095950	5.8	788
tt0096019	7.9	13
tt0096152	5.8	2853
tt0096426	6.1	14115
tt0096669	5.6	9
tt0096719	6.8	235
tt0097583	6.8	171
tt0097799	7.5	6
tt0097836	6.1	189
tt0097839	6.8	1535
tt0097979	6.0	139
tt0098044	4.3	181
tt0098148	6.2	18
tt0098332	4.4	244
tt0098489	6.8	31
tt0098517	6.7	39
tt0098894	6.8	27
tt0099502	4.3	153
tt0099637	5.5	3807
tt0099946	6.6	38
tt0100364	4.4	96
tt0100462	7.0	16
tt0100555	4.5	132
tt0101337	5.2	79
tt0101358	7.1	340
tt0101651	6.1	64
tt0102175	6.6	19720
tt0102194	4.9	238
tt0102323	5.4	114
tt0102537	5.7	402
tt0102789	6.2	20567
tt0103291	6.1	249
tt0103516	8.1	4123
tt0104137	4.1	227
tt0104360	6.3	147
tt0104586	7.0	49
tt0104757	5.3	8
tt0104890	6.9	27
tt0105065	3.6	268
tt0105087	5.0	134
tt0105280	6.3	73
tt0105692	7.0	71
tt0106067	7.2	78
tt0106103	8.1	110
tt0106112	7.2	2921
tt0106799	3.8	240
tt0106839	5.9	304
tt0107653	7.7	44200
tt0108257	7.1	177
tt0108381	9.1	8
tt0108384	5.9	13
tt0108568	4.6	359
tt0108654	5.8	387
tt0108761	6.1	6341
tt0109133	5.4	105
tt0109361	5.3	9216
tt0109710	4.6	393
tt0109872	6.5	1300
tt0110205	6.8	77
tt0110453	7.7	21
tt0110550	5.7	106
tt0110868	8.3	62
tt0110898	5.2	267
tt0111138	3.9	381
tt0111359	5.9	4288
tt0111449	6.5	597
tt0111835	6.4	5619
tt0111876	4.7	36
tt0112439	4.7	163
tt0112747	3.4	1689
tt0112826	4.1	1016
tt0113096	6.9	99
tt0113276	4.7	257
tt0113403	7.2	2785
tt0113463	5.7	3203
tt0113507	4.8	114
tt0114122	6.5	716
tt0114343	4.6	222
tt0114347	6.1	20
tt0114635	6.2	49
tt0115049	5.8	16
tt0115176	7.8	30
tt0115302	7.1	527
tt0115468	5.8	129
tt0115620	4.4	91
tt0115831	7.7	48
tt0115936	6.7	27
tt0116015	6.8	907
tt0116050	4.3	179
tt0116089	5.9	29
tt0116156	5.9	22
tt0116158	4.4	26
tt0116196	6.4	92
tt0116401	4.4	2047
tt0116413	4.0	101
tt0116850	6.3	159
tt0117261	7.3	296
tt0118416	7.9	49
tt0119068	4.4	2350
tt0119099	7.0	93248
tt0119694	6.6	161
tt0120042	6.8	1752
tt0120250	6.8	344
tt0120331	4.0	614
tt0120488	4.5	167
tt0120536	6.7	4037
tt0120538	6.5	602
tt0120751	5.7	30915
tt0120884	6.5	471
tt0120999	5.3	18
tt0121124	5.3	28
tt0121358	6.2	30
tt0121654	4.4	766
tt0121709	5.2	10
tt0122355	5.8	1465
tt0122383	6.3	48
tt0122657	6.4	207
tt0122676	6.0	8
tt0122836	6.8	145
tt0122905	6.5	11
tt0122960	5.5	38
tt0123411	5.8	208
tt0123427	6.1	121
tt0123626	6.5	152
tt0124900	7.0	10
tt0125204	6.7	41
tt0125527	6.6	15
tt0125917	5.6	180
tt0126018	6.6	25
tt0126698	4.9	720
tt0126754	7.3	199
tt0127072	5.2	109
tt0127091	7.4	14
tt0127398	4.6	1126
tt0127447	7.0	134
tt0128331	5.8	66
tt0130059	6.6	90
tt0130317	6.0	6
tt0131602	6.0	9
tt0132502	6.0	748
tt0133742	6.2	84
tt0134092	4.0	33
tt0134310	4.7	8
tt0134699	7.3	76
tt0134839	8.5	21
tt0135101	6.2	17
tt0135197	4.6	29
tt0135641	5.2	1244
tt0136128	4.2	28
tt0136219	5.9	293
tt0136909	7.1	26
tt0137980	8.0	163
tt0138805	5.5	75
tt0138825	6.0	45
tt0138848	5.2	33
tt0139385	7.2	27
tt0142764	6.6	18
tt0143118	6.2	10
tt0143900	6.1	409
tt0144157	7.5	100
tt0144779	4.5	39
tt0145082	3.9	113
tt0145467	5.6	143
tt0146296	8.5	38
tt0146333	6.2	15
tt0146506	7.4	35
tt0147381	6.5	67
tt0147996	6.0	402
tt0148133	7.0	15
tt0148209	6.6	127
tt0148270	5.3	16
tt0148317	6.4	203
tt0148351	8.7	75
tt0148474	4.8	13
tt0148475	5.9	8
tt0149000	4.3	17
tt0149234	6.2	37
tt0149287	5.1	20
tt0149754	7.9	17
tt0150020	6.0	74
tt0150321	4.7	17
tt0150414	4.6	39
tt0150487	6.4	84
tt0150538	6.2	27
tt0150821	5.8	30
tt0151033	7.4	48
tt0151096	6.2	55
tt0151141	4.8	16
tt0151187	5.2	22
tt0151391	7.3	34
tt0151884	5.5	53
tt0151960	5.7	27
tt0152407	6.0	11
tt0152486	5.3	33
tt0152725	6.9	28
tt0152851	6.1	19
tt0153888	6.2	132
tt0154278	4.9	21
tt0154332	5.1	12
tt0154348	6.1	27
tt0154849	7.7	321
tt0155329	8.2	1126
tt0155569	6.5	82
tt0155693	7.0	27
tt0155836	6.8	20
tt0155886	7.4	72
tt0156061	8.4	65
tt0156960	5.1	27
tt0157002	8.7	10
tt0158033	5.9	1860
tt0158154	5.8	205
tt0159095	6.8	151
tt0159192	8.0	1988
tt0159270	3.1	430
tt0159599	7.0	187
tt0159605	4.5	29
tt0159777	5.9	61
tt0159875	7.9	235
tt0160138	5.7	9
tt0160141	7.2	10
tt0160515	7.5	14
tt0160674	6.5	12
tt0160910	8.5	1428
tt0160937	5.4	98
tt0160951	7.5	103
tt0161051	7.1	21
tt0162038	6.1	89
tt0162365	4.1	33
tt0163457	8.7	67
tt0164063	7.9	2478
tt0164237	8.5	25
tt0164543	4.1	11
tt0164613	6.3	20
tt0165740	6.3	76
tt0165874	6.3	6539
tt0165923	5.7	13
tt0165938	5.3	54
tt0166800	5.6	150
tt0167006	4.5	167
tt0167061	6.9	28
tt0167124	4.9	41
tt0167132	6.5	3003
tt0168161	5.9	86
tt0169222	6.7	2314
tt0169348	5.8	85
tt0169962	7.1	11
tt0170350	6.2	29
tt0170531	8.4	13
tt0171140	5.1	79
tt0171597	7.1	36
tt0171976	4.5	10
tt0172153	6.8	17
tt0172729	6.4	17
tt0173255	4.6	133
tt0173334	7.7	32
tt0173510	6.6	13
tt0173658	8.2	6
tt0173997	6.0	22
tt0174405	6.2	10
tt0175210	5.9	25
tt0175370	7.0	46
tt0175543	6.5	16
tt0176243	5.7	18
tt0176903	8.4	164
tt0176974	7.4	14
tt0177615	5.7	158
tt0178320	6.4	30
tt0178818	6.0	74
tt0179064	5.5	78
tt0179227	6.4	54
