tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0070817	movie	Tongue	Tongue	1	1976	\N	80	Adult,Drama
tt0071208	movie	The Beast	Il bestione	0	1974	\N	100	Comedy,Drama
tt0071837	movie	Mi mujer es muy decente, dentro de lo que cabe	Mi mujer es muy decente, dentro de lo que cabe	0	1975	\N	97	Comedy
tt0071954	movie	Tora-san's Lovesick	Otoko wa tsurai yo: Torajiro koiyatsure	0	1974	\N	104	Comedy
tt0072049	movie	Pyotr Martynovich i gody bolshoy zhizni	Pyotr Martynovich i gody bolshoy zhizni	0	1976	\N	92	Biography,Drama
tt0073101	tvMovie	Die Heiratsvermittlerin	Die Heiratsvermittlerin	0	1976	\N	\N	Comedy
tt0074659	movie	I Will... I Will... For Now	I Will... I Will... For Now	0	1976	\N	107	Comedy,Romance
tt0076246	movie	Julie Gluepot	Julie pot-de-colle	0	1977	\N	90	Comedy
tt0077515	tvEpisode	The Escape of a One-Ton Pet	The Escape of a One-Ton Pet	0	1978	\N	70	Adventure,Animation,Comedy
tt0078090	movie	The Flat Jungle	De platte jungle	0	1979	\N	90	Documentary
tt0080968	short	Mogzauroba Sopotshi	Mogzauroba Sopotshi	0	1979	\N	29	Short
tt0082036	movie	Au bout du bout du banc	Au bout du bout du banc	0	1979	\N	105	Comedy,Drama
tt0083790	movie	Dard Ka Rishta	Dard Ka Rishta	0	1982	\N	152	Drama
tt0084050	movie	Chiu pei lui hok sang	Chiu pei lui hok sang	0	1982	\N	89	\N
tt0084913	movie	Wolf Devil Woman	Lang nu bai mo	0	1982	\N	85	Action,Fantasy,Horror
tt0086081	movie	Party Party	Party Party	0	1983	\N	100	Comedy
tt0086196	movie	Just a Game	Rien qu'un jeu	0	1983	\N	89	Drama
tt0086380	movie	Di yi ba jiao yi	Di yi ba jiao yi	0	1983	\N	\N	\N
tt0086551	movie	Confidentially Yours	Vivement dimanche!	0	1983	\N	110	Comedy,Crime,Mystery
tt0088920	movie	Chuzhie zdes ne khodyat	Chuzhie zdes ne khodyat	0	1986	\N	76	Crime,Mystery
tt0089445	tvMovie	A kárókatonák még nem jöttek vissza	A kárókatonák még nem jöttek vissza	0	1984	\N	89	Family
tt0089548	tvEpisode	Le manteau de Saint Martin	Le manteau de Saint Martin	0	1988	\N	\N	Crime,Thriller
tt0092415	tvSeries	Nothing in Common	Nothing in Common	0	1987	1987	30	Comedy
tt0093115	movie	Graveyard Shift	Graveyard Shift	0	1986	\N	89	Horror
tt0094989	tvEpisode	Dekalog, siedem	Dekalog, siedem	0	1989	\N	57	Drama
tt0097045	movie	Chandni	Chandni	0	1989	\N	186	Drama,Musical,Romance
tt0097070	movie	Clovek proti zkáze	Clovek proti zkáze	0	1989	\N	89	Biography,Drama,History
tt0098251	movie	Blood and Sand	Sangre y arena	0	1989	\N	113	Drama,Romance
tt0098587	movie	Summer of the Colt	El verano del potro	0	1989	\N	100	Drama,Family
tt0098663	movie	The Wizard	The Wizard	0	1989	\N	100	Adventure,Comedy,Drama
tt0099145	movie	Blankt vapen	Blankt vapen	0	1990	\N	86	Thriller
tt0100665	movie	Soultaker	Soultaker	0	1990	\N	94	Fantasy,Horror
tt0101303	movie	All Out	All Out	0	1990	\N	106	Action,Crime,Drama
tt0101801	tvMovie	Egy igazi bohóc	Egy igazi bohóc	0	1991	\N	\N	Biography
tt0102114	movie	In the Shadow of the Stars	In the Shadow of the Stars	0	1991	\N	93	Documentary
tt0103310	movie	Ynang-Bayan: To Be a Woman Is to Live at a Time of War	Ynang-Bayan: To Be a Woman Is to Live at a Time of War	0	1991	\N	\N	\N
tt0105401	movie	Men Behind the Sun 3: A Narrow Escape	Hei tai yang 731 si wang lie che	0	1994	\N	93	Drama
tt0105724	tvMovie	The Vampyr: A Soap Opera	The Vampyr: A Soap Opera	0	1992	\N	125	Drama,Fantasy,Horror
tt0105785	movie	The Washing Machine	Vortice mortale	0	1993	\N	90	Crime,Drama,Horror
tt0108014	movie	Rutt Deen	Rutt Deen	0	1993	\N	60	\N
tt0108339	movie	Ticks	Ticks	0	1993	\N	85	Horror,Sci-Fi
tt0108797	tvSeries	Der Havelkaiser	Der Havelkaiser	0	1994	\N	90	Drama
tt0110040	movie	Hollywood Dreams	Hollywood Dreams	0	1994	\N	82	Comedy
tt0110137	movie	The Inkwell	The Inkwell	0	1994	\N	110	Comedy,Drama,Romance
tt0110512	movie	Midnight Tease	Midnight Tease	0	1994	\N	83	Mystery,Thriller
tt0110837	short	Pipas	Pipas	0	1994	\N	14	Comedy,Short
tt0111536	movie	The Dance Teacher	Ucitel tance	0	1995	\N	100	Comedy,Drama
tt0111924	tvSeries	The Client	The Client	0	1995	1996	60	Crime,Drama,Thriller
tt0112384	movie	Apollo 13	Apollo 13	0	1995	\N	140	Adventure,Drama,History
tt0113916	tvEpisode	Die Nacht der Regisseure	Die Nacht der Regisseure	0	1995	\N	87	Biography,Documentary,History
tt0114016	movie	Number One Fan	Number One Fan	0	1995	\N	89	Thriller
tt0114407	tvEpisode	Shadow of a Gunman	Shadow of a Gunman	0	1995	\N	75	Drama
tt0114617	short	La tarde de un matrimonio de clase media	La tarde de un matrimonio de clase media	0	1997	\N	3	Comedy,Drama,Short
tt0114928	movie	White Man's Burden	White Man's Burden	0	1995	\N	89	Drama,Thriller
tt0115934	movie	La Comédie-Française ou L'amour joué	La Comédie-Française ou L'amour joué	0	1996	\N	223	Documentary
tt0115940	movie	A Summer's Tale	Conte d'été	0	1996	\N	113	Comedy,Drama,Romance
